Title,date,detailURL,views
"다빈치SW교육원장 윤경현 교수, 과학기술정보통신부 장관..",2021.01.06,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1947&search=&keyword=&temp1=&offset=5,584
,작성일,https://cse.cau.ac.kr/sub05/sub0501.php,조회수
[대학원입시]2021학년도 후반기 학석사연계과정 모집 안내 ..,2020.12.31,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1942&search=&keyword=&temp1=&offset=5,759
[해외인턴십] 2021년 상반기 ICT 학점연계 프로젝트 인턴십 ..,2020.12.29,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1941&search=&keyword=&temp1=&offset=5,854
[창업] 2021년 K-Startup 예비창업패키지 대비 멘토링 참가 예..,2020.12.22,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1937&search=&keyword=&temp1=&offset=5,661
2021학년 1학기 농림축산식품부 대학 장학금 지원사업 안내,2020.12.18,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1936&search=&keyword=&temp1=&offset=5,733
"우리 대학 재학생팀, K-Fashion AI 경진대회 우수한 성과",2020.12.24,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1939&search=&keyword=&temp1=&offset=5,869
[SW중심대학사업] 2021년 입학 전 SW교육(CSPE) 프로그램 운영 ..,2020.12.28,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1940&search=&keyword=&temp1=&offset=5,794
[한국공학교육인증원]2020년 공학인을 위한 공공연한 모임 ..,2020.12.18,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1935&search=&keyword=&temp1=&offset=5,684
[대학혁신지원사업] 2020학년도 사회현장과의 소통을 위한 ..,2020.12.17,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1934&search=&keyword=&temp1=&offset=5,679
AI시대의 CTO 기술경영 특강 온라인 청강 신청 안내,2020.10.23,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1839&search=&keyword=&temp1=&offset=11,732
[2020 CAU공학학술제] 공학학술제 전시작품 등록방법,2020.11.02,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1846&search=&keyword=&temp1=&offset=11,601
2021.2월 졸업예정자 졸업논문 대체 TOPCIT성적표 제출 안내,2020.11.02,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1847&search=&keyword=&temp1=&offset=11,804
[한국인터넷교육방송] 온라인 강좌 100% 전액지원 프로모션 ..,2020.10.28,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1843&search=&keyword=&temp1=&offset=11,673
AI시대의 CTO 기술경영 특강 온라인 청강 신청 안내(11월 3일),2020.10.27,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1841&search=&keyword=&temp1=&offset=11,713
2020 헬스허브 데이터톤 대회 안내,2020.11.02,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1850&search=&keyword=&temp1=&offset=11,584
파스-타 기반 서비스 개발 및 아이디어 공모전 안내,2020.10.29,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1844&search=&keyword=&temp1=&offset=11,633
2021년 2월 졸업예정자(복수전공자포함)졸업예정신고서 제..,2020.11.02,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1849&search=&keyword=&temp1=&offset=11,808
,작성일,https://cse.cau.ac.kr/sub05/sub0501.php,조회수
2021년 2월 공학인증 졸업예정자 제출서류 안내,2020.11.02,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1848&search=&keyword=&temp1=&offset=11,842
2020학년도 온라인 자살예방교육 안내,2020.10.23,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1840&search=&keyword=&temp1=&offset=11,801
AI시대의 CTO 기술경영 특강 온라인 청강 신청 안내(11/24 삼..,2020.11.19,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1900&search=&keyword=&temp1=&offset=8,663
"[SW교육지원팀] 2021-1학기 SW융합전공, SW복수(부)전공 설명회..",2020.11.16,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1889&search=&keyword=&temp1=&offset=8,613
,작성일,https://cse.cau.ac.kr/sub05/sub0501.php,조회수
2021년 2월 공학인증 졸업예정자 제출서류 안내,2020.11.23,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1905&search=&keyword=&temp1=&offset=8,679
TOPCIT 인터넷기반(IBT) 평가 시스템 테스팅을 위한 SW전공생 ..,2020.11.17,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1896&search=&keyword=&temp1=&offset=8,719
2021.2월 졸업예정자 졸업논문 대체 TOPCIT성적표 제출 안내,2020.11.23,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1902&search=&keyword=&temp1=&offset=8,626
2020학년도 2학기 강의평가 실시 안내,2020.11.20,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1901&search=&keyword=&temp1=&offset=8,650
2021년 2월 공학인증 졸업예정자 제출서류 안내,2020.11.16,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1892&search=&keyword=&temp1=&offset=8,764
2020-2학기 홍병우 교수님 정기상담 일정 안내,2020.11.17,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1894&search=&keyword=&temp1=&offset=8,671
2021년 2월 졸업예정자(복수전공자포함)졸업예정신고서 제..,2020.11.16,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1893&search=&keyword=&temp1=&offset=8,795
2021.2월 졸업예정자 졸업논문 대체 TOPCIT성적표 제출 안내,2020.11.16,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1891&search=&keyword=&temp1=&offset=8,604
[한국정보통신진흥협회] 제2101회 리눅스마스터(3월 13일 (토..,2021.01.29,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1961&search=&keyword=&temp1=&offset=3,637
2021년 2월 통합 온라인 학위수여식 시행 및 학위기 수령 안..,2021.02.15,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1973&search=&keyword=&temp1=&offset=3,516
[ICT인턴십] 2021년 상반기 ICT학점연계프로젝트인턴십 승인 ..,2021.02.08,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1969&search=&keyword=&temp1=&offset=3,542
,작성일,https://cse.cau.ac.kr/sub05/sub0501.php,조회수
2021년 2월 학위수여식 학위복 대여 안내,2021.02.08,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1968&search=&keyword=&temp1=&offset=3,372
성적장학생 선발 기준 및 지급금액 안내,2021.02.10,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1971&search=&keyword=&temp1=&offset=3,799
2021학년도 1학기 서울캠퍼스 검역소 운영 안내,2021.02.09,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1970&search=&keyword=&temp1=&offset=3,405
[AIIA] AIIA Journal Vol.42 발간 안내,2021.02.03,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1964&search=&keyword=&temp1=&offset=3,520
[대학혁신지원사업] 2021학년도 1학기 다빈치 창의학점제 신..,2021.02.02,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1963&search=&keyword=&temp1=&offset=3,838
[기업과 함께하는 AI 아카데미 온라인 특강 안내],2021.02.01,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1962&search=&keyword=&temp1=&offset=3,533
기업연계 청년기술전문인력 육성사업 모집 안내,2021.02.10,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1972&search=&keyword=&temp1=&offset=3,811
[ASML Korea] 2020년 Tech Talk 참여 신청 안내,2020.11.03,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1853&search=&keyword=&temp1=&offset=10,668
2020-2학기 김대원 교수님 정기상담 일정 안내,2020.11.09,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1863&search=&keyword=&temp1=&offset=10,555
2020-2학기 박재현 교수님 정기상담 일정 안내,2020.11.06,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1857&search=&keyword=&temp1=&offset=10,562
,작성일,https://cse.cau.ac.kr/sub05/sub0501.php,조회수
(2차 모집공고)[소프트웨어학부 최광남교수님 시각영상미..,2020.11.03,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1855&search=&keyword=&temp1=&offset=10,930
2020-2학기 권준석 교수님 정기상담 일정 안내,2020.11.06,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1859&search=&keyword=&temp1=&offset=10,618
2020-2학기 백정엽 교수님 정기상담 일정 안내,2020.11.06,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1858&search=&keyword=&temp1=&offset=10,594
대학원 학석사 연계과정 공지,2020.11.09,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1864&search=&keyword=&temp1=&offset=10,650
